Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.38459E-3,33.812145428,0.513139854,0.017342769,0.242424242,0.2
1.40359E-3,34.091345307,0.517923655,0.017143427,0.242424242,0.2
1.45839E-3,34.380389136,0.531463755,0.016944085,0.242424242,0.2
1.47132E-3,34.527521281,0.5346023,0.016844413,0.242424242,0.2
1.49981E-3,34.826696088,0.541444836,0.016645071,0.242424242,0.2
1.54267E-3,35.134038226,0.551548188,0.016445729,0.242424242,0.2
1.55552E-3,35.289590227,0.55453357,0.016346058,0.242424242,0.2
1.58219E-3,35.603518537,0.560667052,0.016146716,0.242424242,0.2
1.59198E-3,35.762716054,0.562896172,0.016047045,0.242424242,0.2
1.60354E-3,36.082288887,0.565516549,0.015847703,0.242424242,0.2
1.62019E-3,36.406238145,0.569260386,0.01564836,0.242424242,0.2
1.6208E-3,36.568317652,0.569396031,0.015548689,0.242424242,0.2
1.66987E-3,36.899137503,0.580242536,0.015349347,0.242424242,0.2
1.68793E-3,37.067930308,0.584164443,0.015249676,0.242424242,0.2
1.71939E-3,37.409537594,0.590909305,0.015050334,0.242424242,0.2
1.72276E-3,37.581813342,0.591625812,0.014950663,0.242424242,0.2
1.72615E-3,37.754428697,0.592346133,0.014850992,0.242424242,0.2
1.75571E-3,38.104182107,0.598562041,0.01465165,0.242424242,0.2
1.75837E-3,38.280019375,0.599117082,0.014551978,0.242424242,0.2
1.78294E-3,38.636151364,0.604204769,0.014352636,0.242424242,0.2
1.79377E-3,38.815528136,0.606425891,0.014252965,0.242424242,0.2
1.79993E-3,39.175120813,0.607684887,0.014053623,0.242424242,0.2
1.80547E-3,39.35566825,0.608813781,0.013953952,0.242424242,0.2
1.80888E-3,39.536556258,0.609505746,0.013854281,0.242424242,0.2
1.84654E-3,39.903736742,0.617076954,0.013654939,0.242424242,0.2
1.85906E-3,40.089642852,0.619560648,0.013555268,0.242424242,0.2
1.86766E-3,40.276409199,0.621258145,0.013455597,0.242424242,0.2
1.93587E-3,40.662593471,0.634451943,0.013256254,0.242424242,0.2
1.94121E-3,40.856714755,0.635465796,0.013156583,0.242424242,0.2
1.95532E-3,41.052246766,0.638129377,0.013056912,0.242424242,0.2
1.99658E-3,41.447745736,0.645807957,0.01285757,0.242424242,0.2
2.00144E-3,41.647890015,0.646702673,0.012757899,0.242424242,0.2
2.01858E-3,41.849747822,0.649835777,0.012658228,0.242424242,0.2
2.03988E-3,42.053736237,0.653692766,0.012558557,0.242424242,0.2
2.0418E-3,42.257915873,0.654036845,0.012458886,0.242424242,0.2
2.08464E-3,42.674412396,0.661657857,0.012259544,0.242424242,0.3
2.12642E-3,42.887054158,0.668925932,0.012159872,0.242424242,0.3
2.13511E-3,43.100564898,0.67041814,0.012060201,0.242424242,0.3
2.14775E-3,43.315339451,0.672576363,0.01196053,0.242424242,0.3
2.18558E-3,43.533897384,0.678953155,0.011860859,0.242424242,0.3
2.19467E-3,43.75336391,0.680465981,0.011761188,0.272727273,0.3
2.22342E-3,44.197974894,0.685207008,0.011561846,0.272727273,0.3
2.23384E-3,44.421358693,0.686907118,0.011462175,0.303030303,0.4
2.26206E-3,44.647564895,0.69146734,0.011362504,0.303030303,0.4
